range_start,range_end,AS_number,country_code,AS_description
111.20.49.0,111.20.50.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.51.0,111.20.53.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.54.0,111.20.56.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.57.0,111.20.59.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.60.0,111.20.97.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.98.0,111.20.111.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.112.0,111.20.209.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.210.0,111.20.217.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.218.0,111.20.222.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.223.0,111.20.230.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.231.0,111.20.232.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.233.0,111.20.235.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.236.0,111.20.240.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.241.0,111.20.241.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.20.242.0,111.20.247.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.248.0,111.20.249.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.20.250.0,111.20.253.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.20.254.0,111.20.255.255,140105,CN,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited
111.21.0.0,111.21.9.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.10.0,111.21.80.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.81.0,111.21.85.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.86.0,111.21.97.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.98.0,111.21.116.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.117.0,111.21.119.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.120.0,111.21.121.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
111.21.122.0,111.21.129.255,9808,CN,CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.
